"l_95" "l_75" "l_50" "Median" "u_50" "u_75" "u_95" "mean" "sd"
"Pred_next" 49.8945105728906 57.8232037862435 61.9497575855639 67.4976082649231 72.5698771592655 76.3826538897726 84.7342928814259 67.257012416519 8.60254084228675
"Pred_h1" 47.7639585358606 59.4300532722719 65.361681044844 73.755731168862 82.0853660982115 89.109708677535 105.057987489993 74.2247036011491 14.0375266978444
"Pred_h2" 39.9713542852997 52.0724513471621 57.6006999731436 65.6947412753079 73.7042694310237 80.1840639528481 95.3308799564802 66.0849040152121 13.3993029909532
"Pred_h3" 32.7562362579089 44.5321408421549 49.9276048824218 57.5081265221161 65.4201570929012 71.546910686324 85.9849436023977 57.9451044292751 12.8300625986079
"Beta" 0.380916232931236 0.40736089714613 0.426195933781989 0.452245353651122 0.462824433818776 0.466038240840566 0.477876730616146 0.443073113959302 0.0259345521419526
"HR1" 0.140716643241015 0.159151986429589 0.169045863761572 0.182209673351091 0.196011919735012 0.208203765294717 0.230244086685715 0.183045636899298 0.0223091775231218
"HR2" 0.331287540705663 0.369778228565234 0.388394519963015 0.410055440994277 0.434248416570336 0.461447891387382 0.5037046325952 0.412978596904683 0.0426062586597849
"HR3" 18.6221655728476 22.4637155492737 24.5695268448914 27.742581979436 30.5668552559124 33.0715876173416 38.7162322368647 27.8465555307275 5.00639509950259
"Mean.lambda" 1.16376046653156 1.18927556938187 1.20343585353907 1.2228073228983 1.2437995346169 1.26295119457684 1.29911311223507 1.224979444926 0.0337685512683339
"Lambda.last" 0.926068787092906 1.08804076409553 1.15398088874542 1.21931248507818 1.28913424621956 1.35700576777549 1.53812370159568 1.2216353044323 0.137246264179513
