Aar;Region;FG;Antall.belastet.kvoten;V.Hunner.belastet.kvoten;V.Hunner.Avgang;kommentar
2020;1;0;0;0;0;
2020;2;16;19;5;5;
2020;3;5;8;3;3;
2020;4;0.5;0;0;0;Ingen jakt
2020;5;8;0;0;0;Ingen jakt
2020;6;15;26;8;8;
2020;7;11;0;0;2;Ingen jakt. To voksne hunngauper felt på skadefelling
2020;8;11;0;0;2;Ingen jakt. To voksne hunngauper felt på skadefelling
2019;1;0;0;0;0;
2019;2;15;24;9;9;
2019;3;7;6;1;1;
2019;4;1;0;0;0;
2019;5;6;2;0;1;Inga jakt. 1 vaksen hogaupe påkjørt i mars
2019;6;15.5;24;10;10;
2019;7;5.5;5;0;2;inga jakt. 2 vaksne hogauper felt i skadefelling
2019;8;5;0;0;0;
2018;1;0;2;1;1;
2018;2;15;4;0;1;Inga jakt. 1 vaksen ho påkjørt i desember
2018;3;6;7;2;2;
2018;4;1.25;0;0;0;
2018;5;7.25;0;0;0;
2018;6;15.5;35;12;12;
2018;7;8.5;2;0;0;
2018;8;4;2;0;0;
2017;1;0;0;0;0;
2017;2;9;5;2;3;en voksen hunn påkjørt før kvoten satt
2017;3;5;5;1;1;
2017;4;1.5;0;0;0;
2017;5;9.5;0;0;0;
2017;6;18.5;35;11;11;
2017;7;6;6;1;1;
2017;8;6;4;2;2;
2016;1;0;2;0;0;
2016;2;9.5;23;8;8;
2016;3;3.5;6;3;3;
2016;4;1.5;1;0;0;
2016;5;7.5;0;0;0;
2016;6;14.5;31;11;11;
2016;7;6.5;5;1;1;
2016;8;9;2;1;2;
2015;1;0;1;0;0;
2015;2;16;37;9;9;
2015;3;7;9;1;1;
2015;4;4.5;2;0;0;
2015;5;2.5;0;0;0;
2015;6;17;18;6;6;
2015;7;5.5;4;2;2;
2015;8;8;5;1;1;
2014;1;0;1;0;0;
2014;2;16;29;11;11;
2014;3;5.5;11;2;2;
2014;4;5;0;0;0;
2014;5;4.5;0;0;0;
2014;6;12.5;7;2;2;
2014;7;4;13;4;5;
2014;8;5.5;10;4;4;
2013;1;1;4;1;1;
2013;2;16.5;23;9;9;
2013;3;7.5;8;2;2;
2013;4;1;3;1;1;
2013;5;4;5;1;2;
2013;6;7;15;6;8;
2013;7;8;6;4;6;
2013;8;7.5;13;3;4;
2012;1;1;3;1;1;
2012;2;16;16;4;4;
2012;3;5.5;5;0;0;
2012;4;5;6;1;1;
2012;5;6.5;8;5;5;
2012;6;14;17;7;7;
2012;7;8;8;2;2;
2012;8;13;18;5;5;
2011;1;0;1;0;0;
2011;2;14.5;26;9;10;
2011;3;4.5;11;3;3;
2011;4;6;11;4;4;
2011;5;11;9;3;4;
2011;6;18;52;16;17;
2011;7;8.5;12;4;4;
2011;8;11.5;16;7;7;
2010;1;0;0;0;0;
2010;2;17;28;10;11;
2010;3;4;9;5;5;
2010;4;9;6;2;2;
2010;5;9;10;3;3;
2010;6;20;59;22;22;
2010;7;6;16;8;8;
2010;8;15;7;1;2;
2009;1;0;1;0;0;
2009;2;19;27;8;8;
2009;3;6.5;10;2;2;
2009;4;7.5;6;2;4;
2009;5;9;14;3;3;
2009;6;26.5;36;16;17;
2009;7;14.5;8;4;6;
2009;8;9;8;4;4;
